Plane	Strip	MeanFit	Mean
5	14	-0.05	-0.05
5	15	-0.05	-0.05
5	16	-0.05	-0.05
5	17	-0.05	-0.05
5	18	-0.05	-0.05
5	19	-0.05	-0.05
5	20	-0.05	-0.05
5	21	-0.05	-0.05
5	22	-0.05	-0.05
5	23	-0.05	-0.05
5	24	-0.05	-0.05
5	25	-0.05	-0.05
5	26	-0.05	-0.05
5	27	-0.05	-0.05
5	28	-0.05	-0.05
5	29	-0.05	-0.05
5	30	-0.05	-0.05
5	31	-0.05	-0.05
5	32	-0.05	-0.05
5	33	-0.05	-0.05
5	34	-0.05	-0.05
5	35	-0.05	-0.05
5	36	-0.05	-0.05
5	37	-0.05	-0.05
5	38	-0.05	-0.05
5	39	-0.05	-0.05
5	40	-0.05	-0.05
5	41	-0.05	-0.05
5	42	-0.05	-0.05
5	43	-0.05	-0.05
5	44	-0.05	-0.05
5	45	-0.05	-0.05
5	46	-0.05	-0.05
5	47	-0.05	-0.05
6	0	0.03	0.03
6	1	0.03	0.03
6	2	0.03	0.03
6	3	0.03	0.03
6	4	0.03	0.03
6	5	0.03	0.03
6	6	0.03	0.03
6	7	0.03	0.03
6	8	0.03	0.03
6	9	0.03	0.03
6	10	0.03	0.03
6	11	0.03	0.03
6	12	0.03	0.03
6	13	0.03	0.03
6	14	0.03	0.03
6	15	0.03	0.03
6	16	0.03	0.03
6	17	0.03	0.03
6	18	0.03	0.03
6	19	0.03	0.03
6	20	0.03	0.03
6	21	0.03	0.03
6	22	0.03	0.03
6	23	0.03	0.03
6	24	0.03	0.03
6	25	0.03	0.03
6	26	0.03	0.03
6	27	0.03	0.03
6	28	0.03	0.03
6	29	0.03	0.03
6	30	0.03	0.03
6	31	0.03	0.03
6	32	0.03	0.03
6	33	0.03	0.03
6	34	0.03	0.03
6	35	0.03	0.03
6	36	0.03	0.03
6	37	0.03	0.03
6	38	0.03	0.03
6	39	0.03	0.03
6	40	0.03	0.03
6	41	0.03	0.03
6	42	0.03	0.03
6	43	0.03	0.03
6	44	0.03	0.03
6	45	0.03	0.03
6	46	0.03	0.03
6	47	0.03	0.03
7	0	2.12	2.12
7	1	2.12	2.12
7	2	2.12	2.12
7	3	2.12	2.12
7	4	2.12	2.12
7	5	2.12	2.12
7	6	2.12	2.12
7	7	2.12	2.12
7	8	2.12	2.12
7	9	2.12	2.12
7	10	2.12	2.12
7	11	2.12	2.12
7	12	2.12	2.12
7	13	2.12	2.12
7	14	2.12	2.12
7	15	2.12	2.12
7	16	2.12	2.12
7	17	2.12	2.12
7	18	2.12	2.12
7	19	2.12	2.12
7	20	2.12	2.12
7	21	2.12	2.12
7	22	2.12	2.12
7	23	2.12	2.12
7	24	2.12	2.12
7	25	2.12	2.12
7	26	2.12	2.12
7	27	2.12	2.12
7	28	2.12	2.12
7	29	2.12	2.12
7	30	2.12	2.12
7	31	2.12	2.12
7	32	2.12	2.12
7	33	2.12	2.12
7	34	2.12	2.12
7	35	2.12	2.12
7	36	2.12	2.12
7	37	2.12	2.12
7	38	2.12	2.12
7	39	2.12	2.12
7	40	2.12	2.12
7	41	2.12	2.12
7	42	2.12	2.12
7	43	2.12	2.12
7	44	2.12	2.12
7	45	2.12	2.12
7	46	2.12	2.12
7	47	2.12	2.12
8	0	6.49	6.49
8	1	6.49	6.49
8	2	6.49	6.49
8	3	6.49	6.49
8	4	6.49	6.49
8	5	6.49	6.49
8	6	6.49	6.49
8	7	6.49	6.49
8	8	6.49	6.49
8	9	6.49	6.49
8	10	6.49	6.49
8	11	6.49	6.49
8	12	6.49	6.49
8	13	6.49	6.49
8	14	6.49	6.49
8	15	6.49	6.49
8	16	6.49	6.49
8	17	6.49	6.49
8	18	6.49	6.49
8	19	6.49	6.49
8	20	6.49	6.49
8	21	6.49	6.49
8	22	6.49	6.49
8	23	6.49	6.49
8	24	6.49	6.49
8	25	6.49	6.49
8	26	6.49	6.49
8	27	6.49	6.49
8	28	6.49	6.49
8	29	6.49	6.49
8	30	6.49	6.49
8	31	6.49	6.49
8	32	6.49	6.49
8	33	6.49	6.49
8	34	6.49	6.49
8	35	6.49	6.49
8	36	6.49	6.49
8	37	6.49	6.49
8	38	6.49	6.49
8	39	6.49	6.49
8	40	6.49	6.49
8	41	6.49	6.49
8	42	6.49	6.49
8	43	6.49	6.49
8	44	6.49	6.49
8	45	6.49	6.49
8	46	6.49	6.49
8	47	6.49	6.49
9	0	6.49	6.49
9	1	6.49	6.49
9	2	6.49	6.49
9	3	6.49	6.49
9	4	6.49	6.49
9	5	6.49	6.49
9	6	6.49	6.49
9	7	6.49	6.49
9	8	6.49	6.49
9	9	6.49	6.49
9	10	6.49	6.49
9	11	6.49	6.49
9	12	6.49	6.49
9	13	6.49	6.49
9	14	6.49	6.49
9	15	6.49	6.49
9	16	6.49	6.49
9	17	6.49	6.49
9	18	6.49	6.49
9	19	6.49	6.49
