//GEM_id: the second digit 0=left, 1=right;
//Module: 0=00 (mod0,hotZone), 1=01 (mod0,bigZone), 2=10 (mod1,hotZone), 3=11 (mod1,bigZone)
//For middle GEMs Module = 0 or 2
   Serial    Ch_lo    Ch_hi   GEM_id  Station  Module
=====================================================
0x0aadf55d    1024     2047       61        0       0
0x076d43a2    1024     2047       60        0       2
0x0a7b31a5       0     2047       61        0       1
0x0aae4d37       0     2047       60        0       3
0x0a7b31be     512      639       61        0       1
0x0a7b31be     640      767       61        0       3
0x0aad5333    1024     2047      100        1       0
0x0aadd8e1    1024     2047      101        1       2
0x0a7aeb47       0     2047      100        1       1
0x076d3e6b       0     2047      101        1       3
0x0a7b31be       0      127      100        1       1
0x0a7b31be     128      255      101        1       3
0x0a7aeaef    1024     2047       71        2       0
0x0611d04a    1024     2047       70        2       2
0x0cd089b4       0     2047       71        2       1
0x080c3b59       0     2047       70        2       3
0x0611d0d7     512      639       71        2       1
0x0611d0d7     640      767       70        2       3
0x0611df9b    1024     2047       90        3       0
0x076ca266    1024     2047       91        3       2
0x0a79ef10       0     2047       90        3       1
0x0a7b319c       0     2047       91        3       3
0x0611d0d7       0      127       90        3       1
0x0611d0d7     128      255       91        3       3
0x0aad5cce    1024     2047       51        4       0
0x076c82be    1024     2047       50        4       2
0x080bc6dd       0     2047       51        4       1
0x076cd411       0     2047       50        4       3
0x0a7b31be    1024     1151       51        4       1
0x0a7b31be    1152     1279       50        4       3
0x076c8321    1024     2047       70        5       0
0x076d5044    1024     2047       71        5       2
0x0611e021       0     2047       70        5       1
0x076ce3e2       0     2047       71        5       3
0x0611d0d7    1536     1663       70        5       1
0x0611d0d7    1664     1791       71        5       3
0x076ce3ee    1024     2047      111        6       0
0x080bcccf    1024     2047      110        6       2
0x076ca26f       0     2047      111        6       1
0x080bcc01       0     2047      110        6       3
0x0611d0d7    1024     1151      111        6       1
0x0611d0d7    1152     1279      110        6       3
0x076ce3ee       0     1023      171        0       4
0x080bcccf       0     1023      170        0       6
0x076ce3e5       0     2047      171        0       5
0x030dcf31       0     2047      170        0       7
0x0611d0d7    1408     1535      171        0       5
0x0611d0d7    1280     1407      170        0       7
0x076c8321       0     1023      130        1       4
0x076d5044       0     1023      131        1       6
0x0611d0da       0     2047      130        1       5
0x076cb9c0       0     2047      131        1       7
0x0611d0d7    1920     2047      130        1       5
0x0611d0d7    1792     1919      131        1       7
0x0aad5cce       0     1023      181        2       4
0x076c82be       0     1023      180        2       6
0x0aae48b8       0     2047      181        2       5
0x076c4d2b       0     2047      180        2       7
0x0a7b31be    1408     1535      181        2       5
0x0a7b31be    1280     1407      180        2       7
0x0611df9b       0     1023      120        3       4
0x076ca266       0     1023      121        3       6
0x0aae4110       0     2047      120        3       5
0x080c3d05       0     2047      121        3       7
0x0611d0d7     384      511      120        3       5
0x0611d0d7     256      383      121        3       7
0x0a7aeaef       0     1023      141        4       4
0x0611d04a       0     1023      140        4       6
0x0a7aeb1f       0     2047      141        4       5
0x0aadb52a       0     2047      140        4       7
0x0611d0d7     896     1023      141        4       5
0x0611d0d7     768      895      140        4       7
0x0aad5333       0     1023      150        5       4
0x0aadd8e1       0     1023      151        5       6
0x0aadcc93       0     2047      150        5       5
0x076d4d94       0     2047      151        5       7
0x0611d0d7     384      511      150        5       5
0x0611d0d7     256      383      151        5       7
0x0aadf55d       0     1023      161        6       4
0x076d43a2       0     1023      160        6       6
0x0aae61f9       0     2047      161        6       5
0x0611e026       0     2047      160        6       7
0x0a7b31be     896     1023      161        6       5
0x0a7b31be     768      895      160        6       7
