Plane	Strip	MeanFit	Mean
16	6	0.257812	0.257812
16	7	0.234375	0.234375
16	8	0.539063	0.539062
16	9	0.210938	0.210938
16	10	0.234375	0.234375
16	11	0.515625	0.515625
16	12	0.445313	0.445312
16	13	0.304687	0.304688
16	14	0.234375	0.234375
16	15	0.421875	0.421875
16	16	0.351563	0.351562
16	17	0.28125	0.28125
16	18	0.398437	0.398438
16	19	0.164062	0.164062
16	20	0.351563	0.351562
16	21	0.304688	0.304688
16	22	0.117188	0.117188
16	23	0.210937	0.210938
16	24	0.351563	0.351562
16	25	0.445313	0.445312
16	26	0.304687	0.304688
16	27	0.257813	0.257812
16	28	0.351562	0.351562
16	29	0.257812	0.257812
16	30	0.351562	0.351562
16	31	0.328125	0.328125
16	32	0.351562	0.351562
16	33	0.398437	0.398438
16	34	0.398438	0.398438
16	35	0.328125	0.328125
16	36	0.351563	0.351562
16	37	0.304687	0.304688
16	38	0.351562	0.351562
16	39	0.210937	0.210938
16	40	0.304688	0.304688
16	41	0.304687	0.304688
16	42	0.445312	0.445312
16	43	0.304687	0.304688
16	44	0.445313	0.445312
16	45	0.445313	0.445312
16	46	0.304687	0.304688
16	47	0.421875	0.421875
17	0	0	0
17	1	0	0
17	2	0	0
17	3	0	0
17	4	0	0
17	5	0	0
17	6	0	0
17	7	0	0
17	8	0	0
17	9	0	0
17	10	0	0
17	11	0	0
17	12	0	0
17	13	0	0
17	14	0	0
17	15	0	0
17	16	0	0
17	17	0	0
17	18	0	0
17	19	0	0
17	20	0	0
17	21	0	0
17	22	0	0
17	23	0	0
17	24	-2.69531	-2.69531
17	25	-2.60156	-2.60156
17	26	-2.76562	-2.76562
17	27	-2.78906	-2.78906
17	28	-2.67187	-2.67188
17	29	-2.76563	-2.76562
17	30	-2.67187	-2.67188
17	31	-2.71875	-2.71875
17	32	-2.57812	-2.57812
17	33	9.25254	8.90658
17	34	-2.48438	-2.48438
17	35	-2.64844	-2.64844
17	36	-2.67188	-2.67188
17	37	-2.60156	-2.60156
17	38	-2.55469	-2.55469
17	39	-2.67188	-2.67188
17	40	-2.53125	-2.53125
17	41	-2.64844	-2.64844
17	42	-2.55469	-2.55469
17	43	-2.57813	-2.57812
17	44	-2.48438	-2.48438
17	45	-2.57812	-2.57812
17	46	-2.60156	-2.60156
17	47	-2.53125	-2.53125
18	0	-6.70313	-6.70312
18	1	-6.63281	-6.63281
18	2	-6.75	-6.75
18	3	-6.75	-6.75
18	4	-6.63281	-6.63281
18	5	-6.79688	-6.79688
18	6	-6.60938	-6.60938
18	7	-6.70312	-6.70312
18	8	-6.60938	-6.60938
18	9	-6.65625	-6.65625
18	10	-6.67969	-6.67969
18	11	-6.72656	-6.72656
18	12	-6.67969	-6.67969
18	13	-6.70313	-6.70312
18	14	-6.67969	-6.67969
18	15	-6.72656	-6.72656
18	16	-6.58594	-6.58594
18	17	-6.70312	-6.70312
18	18	-6.67969	-6.67969
18	19	-6.72656	-6.72656
18	20	-6.58594	-6.58594
18	21	-6.67969	-6.67969
18	22	-6.72656	-6.72656
18	23	-6.63281	-6.63281
18	24	-6.67969	-6.67969
18	25	-6.60937	-6.60938
18	26	-6.58594	-6.58594
18	27	-6.79688	-6.79688
18	28	-6.67969	-6.67969
18	29	-6.67969	-6.67969
18	30	-6.63281	-6.63281
18	31	-6.72656	-6.72656
18	32	-6.53906	-6.53906
18	33	-6.58594	-6.58594
18	34	-6.60938	-6.60938
18	35	-6.58594	-6.58594
18	36	-6.58594	-6.58594
18	37	-6.46875	-6.46875
18	38	-6.53906	-6.53906
18	39	-6.67969	-6.67969
18	40	-6.39844	-6.39844
18	41	-6.5625	-6.5625
18	42	-6.53906	-6.53906
18	43	-6.44531	-6.44531
18	44	-6.39844	-6.39844
18	45	-6.53906	-6.53906
18	46	-6.53906	-6.53906
18	47	-6.44531	-6.44531
19	0	-6.86877	-6.88235
19	1	-6.75	-6.75
