
      Det     Mod      Serial      Slot     Channel  IsNegative
================================================================
  TRIG          0   0x6EA9711        21          35       0
  T0            0   0x6EA9711        21          33       0
  T0            1   0x6EA9711        21          42       0
  BC1           0   0x6EA9711        21          31       0 
  BC2           0   0x6EA9711        21          24       0
  BC2           1   0x6EA9711        21          34       0
  VETO          0   0x6EA9711        21          28       0
  VETO          1   0x6EA9711        21          38       0
  FD            0   0x6EA9711        21          32       0
  FD            1   0x6EA9711        21          22       0
  BD            0   0x6EA9711        21          15       0 
  BD            1   0x6EA9711        21          22       0 
  BD            2   0x6EA9711        21          18       0 
  BD            3   0x6EA9711        21          36       0
  BD            4   0x6EA9711        21          14       0 
  BD            5   0x6EA9711        21          16       0 
  BD            6   0x6EA9711        21          12       0 
  BD            7   0x6EA9711        21          23       0 
  BD            8   0x6EA9711        21          40       0 
  BD            9   0x6EA9711        21          19       0 
  BD           10   0x6EA9711        21          21       0 
  BD           11   0x6EA9711        21          17       0 
  BD           12   0x6EA9711        21          13       0 
  BD           13   0x6EA9711        21          44       0 
  BD           14   0x6EA9711        21          20       0 
  BD           15   0x6EA9711        21           0       0 
  BD           16   0x6EA9711        21           9       0 
  BD           17   0x6EA9711        21           5       0 
  BD           18   0x6EA9711        21          37       0 
  BD           19   0x6EA9711        21           1       0 
  BD           20   0x6EA9711        21           7       0 
  BD           21   0x6EA9711        21           3       0 
  BD           22   0x6EA9711        21           8       0 
  BD           23   0x6EA9711        21          41       0 
  BD           24   0x6EA9711        21           4       0 
  BD           25   0x6EA9711        21          10       0 
  BD           26   0x6EA9711        21           6       0 
  BD           27   0x6EA9711        21           2       0 
  BD           28   0x6EA9711        21          45       0 
  BD           29   0x6EA9711        21          11       0 
  BD           30   0x6EA9711        21          63       0 
  BD           31   0x6EA9711        21          70       0 
  BD           32   0x6EA9711        21          66       0 
  BD           33   0x6EA9711        21          25       0 
  BD           34   0x6EA9711        21          62       0 
  BD           35   0x6EA9711        21          64       0 
  BD           36   0x6EA9711        21          60       0 
  BD           37   0x6EA9711        21          71       0 
  BD           38   0x6EA9711        21          29       0 
  BD           39   0x6EA9711        21          67       0
