   Serial    Ch_lo    Ch_hi     Zone  Station   Layer
=====================================================
0x80BCC01        0     1023        1        0       0
0x80BCC01        0     1023        2        0       0
0x80BCC01     1024     2047        1        0       1
0x80BCC01     1024     2047        2        0       1
0x76D43A2        0     1023        3        0       0
0x76D43A2        0     1023        4        0       0
0x76D43A2     1024     2047        3        0       1
0x76D43A2     1024     2047        4        0       1
