   Serial    Ch_lo    Ch_hi     Zone  Station   Module   Layer
==============================================================
0x80BCC01        0     1023        1        0        0       0
0x80BCC01        0     1023        2        0        0       2
0x80BCC01     1024     2047        1        0        0       1
0x80BCC01     1024     2047        2        0        0       3
0x611DF9B        0     1023        3        0        1       0
0x611DF9B        0     1023        4        0        1       2
0x611DF9B     1024     2047        3        0        1       1
0x611DF9B     1024     2047        4        0        1       3
