Plane	Strip	Efrain_Correction	Old_Correction
5	8	21.6776	21.782
5	9	21.7088	21.782
5	10	21.6585	21.782
5	11	21.6688	21.782
5	12	21.7421	21.782
5	13	21.6103	21.782
5	14	21.6988	21.782
5	15	21.6867	21.782
5	16	21.712	21.782
5	17	21.7242	21.782
5	18	21.6767	21.782
5	19	21.7602	21.782
5	20	21.6714	21.782
5	21	21.69	21.782
5	22	21.7395	21.782
5	23	21.6939	21.782
5	24	21.6609	21.782
5	25	21.6895	21.782
5	26	21.6045	21.782
5	27	21.624	21.782
5	28	21.6599	21.782
5	29	21.6833	21.782
5	30	21.7055	21.782
5	31	21.6117	21.782
5	32	21.6221	21.782
5	33	21.6043	21.782
5	34	21.7171	21.782
5	35	21.7047	21.782
5	36	21.6798	21.782
5	37	21.6516	21.782
5	38	43.7432	21.782
5	39	21.6848	21.782
5	40	21.658	21.782
5	41	21.6391	21.782
5	42	21.6216	21.782
5	43	21.6331	21.782
5	44	21.6504	21.782
5	45	21.6953	21.782
5	46	21.7476	21.782
5	47	21.782	21.782
6	0	-11.9	-11.9
6	1	21.7657	21.782
6	2	21.724	21.782
6	3	21.7148	21.782
6	4	21.7362	21.782
6	5	21.7446	21.782
6	6	21.7193	21.782
6	7	21.7367	21.782
6	8	21.7639	21.782
6	9	21.7054	21.782
6	10	21.7768	21.782
6	11	21.759	21.782
6	12	21.7968	21.782
6	13	21.717	21.782
6	14	21.7882	21.782
6	15	21.7442	21.782
6	16	21.8291	21.782
6	17	21.8116	21.782
6	18	21.6895	21.782
6	19	21.6962	21.782
6	20	21.8346	21.782
6	21	21.7287	21.782
6	22	21.7457	21.782
6	23	21.7615	21.782
6	24	21.7054	21.782
6	25	21.7624	21.782
6	26	21.744	21.782
6	27	21.6951	21.782
6	28	21.7485	21.782
6	29	21.8157	21.782
6	30	21.6797	21.782
6	31	21.7454	21.782
6	32	21.6826	21.782
6	33	21.6071	21.782
6	34	21.6971	21.782
6	35	21.7787	21.782
6	36	21.6862	21.782
6	37	8.17155	21.782
6	38	21.6931	21.782
6	39	21.6646	21.782
6	40	21.6784	21.782
6	41	21.6869	21.782
6	42	21.8024	21.782
6	43	21.8422	21.782
6	44	21.7075	21.782
6	45	21.8144	21.782
6	46	21.6569	21.782
6	47	21.782	21.782
7	0	-11.9	-11.9
7	1	21.7429	21.782
7	2	21.7242	21.782
7	3	21.7452	21.782
7	4	21.7229	21.782
7	5	21.7019	21.782
7	6	21.7253	21.782
7	7	21.7115	21.782
7	8	21.7181	21.782
7	9	21.7195	21.782
7	10	21.7079	21.782
7	11	21.7009	21.782
7	12	21.7107	21.782
7	13	21.6988	21.782
7	14	21.7124	21.782
7	15	21.7147	21.782
7	16	21.7136	21.782
7	17	21.7196	21.782
7	18	21.722	21.782
7	19	21.7214	21.782
7	20	21.6744	21.782
7	21	21.6683	21.782
7	22	21.671	21.782
7	23	21.7414	21.782
7	24	21.6755	21.782
7	25	21.7076	21.782
7	26	21.7359	21.782
7	27	21.6775	21.782
7	28	21.6858	21.782
7	29	21.6886	21.782
7	30	21.6706	21.782
7	31	21.7097	21.782
7	32	21.6592	21.782
7	33	21.6617	21.782
7	34	21.6672	21.782
7	35	21.6418	21.782
7	36	21.7015	21.782
7	37	21.6571	21.782
7	38	21.6988	21.782
7	39	21.6903	21.782
7	40	21.643	21.782
7	41	21.7579	21.782
7	42	21.6212	21.782
7	43	21.7715	21.782
7	44	21.673	21.782
7	45	21.7282	21.782
7	46	21.6558	21.782
7	47	21.782	21.782
8	0	-11.9	-11.9
8	1	3.99338	21.782
8	2	21.782	21.782
8	3	21.782	21.782
8	4	21.782	21.782
8	5	21.782	21.782
8	6	21.782	21.782
8	7	21.782	21.782
8	8	21.782	21.782
8	9	21.782	21.782
8	10	21.782	21.782
8	11	21.782	21.782
8	12	21.782	21.782
8	13	21.782	21.782
8	14	21.782	21.782
8	15	21.782	21.782
8	16	21.782	21.782
8	17	21.782	21.782
8	18	21.782	21.782
8	19	21.782	21.782
8	20	21.782	21.782
8	21	21.782	21.782
8	22	21.782	21.782
8	23	21.782	21.782
8	24	21.782	21.782
8	25	21.782	21.782
8	26	21.782	21.782
8	27	21.782	21.782
8	28	21.782	21.782
8	29	21.782	21.782
8	30	21.782	21.782
8	31	21.782	21.782
8	32	21.782	21.782
8	33	21.782	21.782
