Plane	Strip	Efrain_Shift	Old_Shift
6	3	-0.128906	-0.158118
6	4	-0.199219	-0.209987
6	5	-0.128906	-0.161917
6	6	-0.269531	-0.288017
6	7	-0.152344	-0.180733
6	8	-0.257812	-0.289714
6	9	-0.210938	-0.252455
6	10	-0.269531	-0.31808
6	11	-0.1875	-0.203125
6	12	-0.1875	-0.213988
6	13	-0.140625	-0.161529
6	14	-0.199219	-0.24308
6	15	-0.128906	-0.139675
6	16	-0.175781	-0.175781
6	17	-0.0703125	-0.0703125
6	18	-0.222656	-0.239822
6	19	-0.0351562	-0.0342061
6	20	-0.164062	-0.207711
6	21	-0.09375	-0.0865261
6	22	-0.0820312	-0.0832981
6	23	-0.128906	-0.174176
6	24	-0.339844	-0.350929
6	25	-0.375	-0.360677
6	26	-0.328125	-0.334635
6	27	-0.234375	-0.229624
6	28	-0.398438	-0.412914
6	29	-0.222656	-0.216488
6	30	-0.410156	-0.412404
6	31	-0.28125	-0.291363
6	32	-0.316406	-0.339844
6	33	-0.269531	-0.279805
6	34	-0.316406	-0.32194
6	35	-0.257812	-0.263514
6	36	-0.328125	-0.330078
6	37	-0.292969	-0.295279
6	38	-0.410156	-0.373092
6	39	-0.222656	-0.228041
6	40	-0.433594	-0.428457
6	41	-0.316406	-0.313058
6	42	-0.386719	-0.398268
6	43	-0.363281	-0.345125
6	44	-0.480469	-0.489337
6	45	-0.339844	-0.348958
6	46	-0.375	-0.374268
6	47	-11.9	-11.9
7	0	-11.9	-11.9
7	1	0.046875	0.046875
7	2	0.0117188	0.023112
7	3	0.164062	0.164062
7	4	0.0351562	0.0351562
7	5	0.0703125	0.0703125
7	6	0.0117188	0.0117187
7	7	0.0703125	0.0703125
7	8	-0.0351562	-0.0351563
7	9	0.140625	0.140625
7	10	0.0117188	0.0212204
7	11	0.0703125	0.0703125
7	12	-0.0703125	-0.0703125
7	13	0.128906	0.138672
7	14	0.105469	0.116554
7	15	0.0351562	0.0424409
7	16	0.046875	0.046875
7	17	0.117188	0.12698
7	18	-0.105469	-0.105469
7	19	-0.0234375	-0.00260417
7	20	-0.0585938	-0.0585938
7	21	-0.0585938	-0.0547931
7	22	-0.0117188	-0.00190034
7	23	0.0703125	0.0736836
7	24	-0.09375	-0.09375
7	25	-0.046875	-0.0563463
7	26	-0.0351562	-0.0351562
7	27	-0.0117188	-0.0117187
7	28	-0.0585938	-0.0671453
7	29	0.0117188	0.0117188
7	30	-0.164062	-0.167546
7	31	-0.0351562	-0.0212918
7	32	-0.152344	-0.149775
7	33	-0.09375	-0.0826563
7	34	-0.1875	-0.192287
7	35	-0.0234375	-0.0208333
7	36	-0.117188	-0.105804
7	37	0.0703125	0.0733259
7	38	-0.0585938	-0.0555804
7	39	-0.0117188	-0.0193201
7	40	-0.0585938	-0.0487753
7	41	0.09375	0.0790603
7	42	-0.117188	-0.117187
7	43	-0.046875	-0.0426432
7	44	-0.117188	-0.128264
7	45	-0.0703125	-0.070473
7	46	-0.0585938	-0.0608724
7	47	-11.9	-11.9
